student id,A,B,C,D,sum
92105468,10,10.5,12.5,4.5,37.5
93104368,غ,غ,غ,غ,غ
94102003,2,0.5,0.5,0,3
94103868,غ,غ,غ,غ,غ
94104072,0.5,2,9,0.5,12
94105452,غ,غ,غ,غ,غ
94106854,غ,غ,غ,غ,غ
94107945,غ,غ,غ,غ,غ
94109624,3,3.5,3.5,3,13
94109765,7.5,1.5,2.5,0,11.5
94110222,1,0.5,0,0,1.5
95100094,غ,غ,غ,غ,غ
95100145,11.5,6.5,2.5,2,22.5
95100264,4,0.5,4.5,0,9
95100275,21,14.5,9,16,60.5
95100564,4.5,7.5,7.5,0,19.5
95101106,2,13,9,2,26
95101236,7,3,9,0,19
95101366,5,9,11,10,35
95101399,6,9,8,5,28
95101503,غ,غ,غ,غ,غ
95102005,6.5,15,5,4,30.5
95102124,12,4.5,0,0,16.5
95102565,5.5,0,9,0,14.5
95102649,0,0,0,0,0
95102746,3.5,13.5,7,3.5,27.5
95102905,0.5,0,1.5,0,2
95102938,1,0,0,0,1
95103089,2.5,20,12,9,43.5
95103107,0,0,0,0,0
95103186,16,10.5,9.5,13.5,49.5
95103248,غ,غ,غ,غ,غ
95103261,0.5,0,0.5,0.5,1.5
95103323,5,2.5,1.5,1,10
95103334,غ,غ,غ,غ,غ
95103378,6.5,2,8.5,3,20
95103486,5.5,4,0,0.5,10
95103572,2,2.5,5,1.5,11
95103583,1,3,7,3.5,14.5
95103601,2.5,18,4,8.5,33
95104193,1,7,4.5,3,15.5
95104277,3,6,0,3.5,12.5
95104425,1.5,0,9,0.5,11
95104769,2,10,4,1.5,17.5
95105176,10,20,4.5,11,45.5
95105187,8,20,2,0,30
95105346,3,5.5,9,0,17.5
95105562,0,4,9,4,17
95105765,0,20,8,0,28
95106353,0,1,5,5,11
95106907,غ,غ,غ,غ,غ
95106931,3.5,11.5,4.5,0,19.5
95106953,غ,غ,غ,غ,غ
95107058,0.5,0,1,0,1.5
95107369,4,14.5,6.5,21.5,46.5
95107647,1,10.5,0,0,11.5
95107658,0,7,0,0,7
95107806,غ,غ,غ,غ,غ
95107828,0,10,1,0,11
95107885,1.5,0.5,9,0,11
95107971,غ,غ,غ,غ,غ
95107993,3,0,2,0,5
95108019,1.5,4.5,4,0.5,10.5
95108021,غ,غ,غ,غ,غ
95108098,0,10,14,13.5,37.5
95108127,8,0.5,9,8.5,26
95108235,0,0,0,0,0
95108246,9,1,9,0,19
95108319,2,0,6,0,8
95108354,10,19,1,8.5,38.5
95109348,غ,غ,غ,غ,غ
95109518,10.5,20,5.5,5,41
95109531,1.5,1,1,1.5,5
95109542,4,13,0.5,4.5,22
95109661,4.5,7,1.5,10.5,23.5
95109723,7.5,0.5,3.5,1,12.5
95109734,1,7,8,13.5,29.5
95109842,9.5,1,3,13,26.5
95109948,7,12,5,1,25
95109994,غ,غ,غ,غ,غ
96100039,10,11,9,16.5,46.5
96100041,2.5,12.5,4,1,20
96100052,3.5,2.5,7,6.5,19.5
96100063,3.5,0.5,4.5,0,8.5
96100074,10.5,17,7.5,5.5,40.5
96100096,7,18,4,5.5,34.5
96100103,22,18,6,19,65
96100114,10,13,7.5,16,46.5
96100125,9,8,4,7.5,28.5
96100136,8,6,2,3,19
96100147,0,0,0,0,0
96100158,3,20,4,4,31
96100169,14,15.5,9,3,41.5
96100171,16,20,6.5,0.5,43
96100182,10,20,7,9,46
96100193,18.5,15.5,7.5,9.5,51
96100211,3.5,16,5,3,27.5
96100222,19.5,20,14,7,60.5
96100233,5.5,4,1,4,14.5
96100244,9,7,11,5.5,32.5
96100255,3.5,9.5,8,0.5,21.5
96100266,6.5,6.5,8.5,6,27.5
96100277,3.5,6,6,4.5,20
96100299,6,4,0.5,5,15.5
96100306,5.5,0,9,8.5,23
96100317,21,20,12.5,20.5,74
96100328,0,6,7,0,13
96100363,19.5,20,10.5,22,72
96100374,2.5,1.5,0.5,5.5,10
96100385,4.5,12,10.5,13,40
96100414,10,0,3,4,17
96100436,7.5,4.5,8,8.5,28.5
96100447,4.5,5,10,10,29.5
96100458,11,10.5,13.5,15,50
96100469,8,20,9,19.5,56.5
96100482,10,14,5.5,7,36.5
96100493,7,13,8.5,8,36.5
96100509,6,15.5,11.5,19.5,52.5
96100511,14,20,13.5,0,47.5
96100522,8.5,8,2,5,23.5
96100533,6.5,15,4,5.5,31
96100544,10.5,18.5,7,0,36
96100555,10,16,10,8,44
96100588,18,0,9,2,29
96100599,5,7.5,3,3.5,19
96100606,7,17,6.5,16.5,47
96100617,14,13,5.5,11.5,44
96100628,18.5,18.5,11.5,21,69.5
96100639,15.5,18,8.5,15.5,57.5
96100641,4.5,6,8,3.5,22
96100652,0,0.5,2,5.5,8
96100663,1.5,17,0,10.5,29
96100674,8.5,9.5,3,1.5,22.5
96100685,7.5,14,6,9.5,37
96100703,7,5.5,5,4.5,22
96100714,غ,غ,غ,غ,غ
96100725,22,5.5,10,9,46.5
96100736,10,18.5,5.5,9.5,43.5
96100758,22,19,8.5,16,65.5
96100769,8,8.5,7,9,32.5
96100782,11,8.5,9,6,34.5
96100793,1.5,10,6,6,23.5
96100809,10,12,9,10,41
96100811,0.5,12.5,9,2,24
96100822,6.5,18,9,4,37.5
96100833,10.5,4,4,8,26.5
96100844,3,0,1,0,4
96100855,0,0,5.5,7,12.5
96100877,19.5,20,14,17.5,71
96100888,14.5,8.5,13,17,53
96100899,5.5,1.5,4,8.5,19.5
96100906,8.5,15.5,9.5,12,45.5
96100928,7.5,14.5,12,11.5,45.5
96100939,16,20,7.5,14.5,58
